make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,inflection_age,sorn_ratio
BMW,1M,E82,SPORTIVE,GB,generation,VEH0124,2025,220,<500,432,0.5092592592592593,9,0.019121657380526534,-0.026378799264997338,31,2021,4,0.4416243654822335
BMW,1M,E82,SPORTIVE,NL,generation,RDW,2026,1,<20,,1.0,0,,,0,,,
BMW,6 SERIES,E63,COUPE,GB,generation,VEH0124,2025,5798,>=500,13562,0.42751806518212654,9,0.09341215835587606,0.006242804682133368,25,,,0.3360815298293828
BMW,6 SERIES,E63,COUPE,NL,generation,RDW,2026,1424,>=500,,1.0,0,,,0,,,
BMW,8 SERIES,E31,COUPE,GB,generation,VEH0124,2025,410,<500,,0.44808743169398907,9,0.07728276232100362,-0.010582055348736907,19,2025,0,0.7244623655913979
BMW,8 SERIES,E31,COUPE,NL,generation,RDW,2026,362,<500,,1.0,0,,,0,,,
BMW,M3,E36,SPORTIVE,GB,generation,VEH0124,2025,541,>=500,,0.3626005361930295,9,0.07867457736935114,0.016004545118252306,19,,,0.7971503562054744
BMW,M3,E36,SPORTIVE,NL,generation,RDW,2026,370,<500,,1.0,0,,,0,,,
BMW,M3,E46,SPORTIVE,GB,generation,VEH0124,2025,4138,>=500,14719,0.28113322915958966,9,0.06802053747461823,-0.005958974888796653,36,2025,0,0.5525519031141869
BMW,M3,E46,SPORTIVE,NL,generation,RDW,2026,725,>=500,,1.0,0,,,0,,,
BMW,M3,E9X,SPORTIVE,GB,generation,VEH0124,2025,3639,>=500,8111,0.44864998150659596,9,0.06258400770128583,-0.002044368270352759,34,2025,0,0.37741659538066724
BMW,M3,E9X,SPORTIVE,NL,generation,RDW,2026,535,>=500,,1.0,0,,,0,,,
BMW,M5,E34,SPORTIVE,GB,generation,VEH0124,2025,63,<100,,0.5,9,0.09997578255110821,0.03730575030000938,19,,,0.8194842406876791
BMW,M5,E34,SPORTIVE,NL,generation,RDW,2026,103,<500,,1.0,0,,,0,,,
BMW,M5,E39,SPORTIVE,GB,generation,VEH0124,2025,493,<500,1029,0.4153327716933446,9,0.08593562171721397,0.016422132190874406,33,,,0.594238683127572
BMW,M5,E39,SPORTIVE,NL,generation,RDW,2026,228,<500,,1.0,0,,,0,,,
BMW,M5,E60,SPORTIVE,GB,generation,VEH0124,2025,595,>=500,2032,0.29281496062992124,9,0.06535399848139466,0.0007256225097560659,34,,,0.5492424242424242
BMW,M5,E60,SPORTIVE,NL,generation,RDW,2026,288,<500,,1.0,0,,,0,,,
BMW,Z3,E36_7,ROADSTER,GB,generation,VEH0124,2025,6700,>=500,5022,0.4272959183673469,9,0.08750926592079815,0.017401107208688524,15,,,0.5786163522012578
BMW,Z3,E36_7,ROADSTER,NL,generation,RDW,2026,2429,>=500,,1.0,0,,,0,,,
BMW,Z3 M,E36_7,ROADSTER,GB,generation,VEH0124,2025,388,<500,193,0.5480225988700564,9,0.03810932607716385,-0.031998832634945774,15,2020,5,0.6146971201588878
BMW,Z3 M,E36_7,ROADSTER,NL,generation,RDW,2026,295,<500,,1.0,0,,,0,,,
BMW,Z4,E85,ROADSTER,GB,generation,VEH0124,2025,11261,>=500,21967,0.5126325852414986,9,0.07275358909945692,-0.0005194943207596364,23,2020,5,0.3433436351973876
BMW,Z4,E85,ROADSTER,NL,generation,RDW,2026,889,>=500,,1.0,0,,,0,,,
BMW,Z4,E89,ROADSTER,GB,generation,VEH0124,2025,13481,>=500,16703,0.8071005208645153,9,0.015095655983615215,-0.016390356191268773,14,2022,3,0.08881378844204123
BMW,Z4,E89,ROADSTER,NL,generation,RDW,2026,1639,>=500,,1.0,0,,,0,,,
BMW,Z4 M,E85_86,ROADSTER,GB,generation,VEH0124,2025,450,<500,1157,0.3889369057908384,9,0.05515495769103624,-0.012795151806230538,21,2024,1,0.5535714285714286
BMW,Z4 M,E85_86,ROADSTER,NL,generation,RDW,2026,8,<20,,1.0,0,,,0,,,
BMW,Z8,E52,ROADSTER,GB,generation,VEH0124,2025,40,<100,111,0.36036036036036034,9,0.039137454156448905,-0.034135629263767654,23,2017,8,0.6296296296296297
BMW,Z8,E52,ROADSTER,NL,generation,RDW,2026,38,<100,,1.0,0,,,0,,,
CATERHAM,SEVEN,SEVEN,SPORTIVE,NL,generation,RDW,2026,106,<500,,1.0,0,,,0,,,
CITROEN,C2 VTS,A6,GTI,GB,generation,VEH0124,2025,626,>=500,4504,0.13898756660746003,9,0.22857681342797917,0.10166868091110398,43,,,0.5310861423220974
CITROEN,C6,X6,PREMIUM,GB,generation,VEH0124,2025,239,<500,882,0.2709750566893424,9,0.13926755232288793,0.02761255346430913,9,,,0.5473484848484849
CITROEN,C6,X6,PREMIUM,NL,generation,RDW,2026,838,>=500,,1.0,0,,,0,,,
CITROEN,DS3 RACING,A55,GTI,GB,generation,VEH0124,2025,102,<500,173,0.5895953757225434,9,0.05966313012080624,0.011052696203149526,30,,,0.25
CITROEN,DS3 RACING,A55,GTI,NL,generation,RDW,2026,69,<100,,1.0,0,,,0,,,
CITROEN,SAXO VTS,S0,GTI,GB,generation,VEH0124,2025,99,<100,2359,0.041966935142009325,9,0.11065014520026943,0.02326968232873168,24,,,0.9140625
CITROEN,XSARA VTS,N0,GTI,GB,generation,VEH0124,2025,19,<20,883,0.021517553793884484,9,0.14098370066697577,0.006821192612575966,34,,,0.8944444444444445
