make,model_gen,generation,country,horizon,year,stock_now,stock_projected,low,high,k_median,lambda_median,cohorts_fitted,cohorts_total
MERCEDES-BENZ,CL,C215,GB,5,2030,652,262,199,322,2.4499999999999997,19.836977104575638,5,9
MERCEDES-BENZ,CL,C215,GB,10,2035,652,81,44,134,2.4499999999999997,19.836977104575638,5,9
MERCEDES-BENZ,CL,C216,GB,5,2030,787,506,376,589,2.15,21.374768230469527,5,8
MERCEDES-BENZ,CL,C216,GB,10,2035,787,290,154,417,2.15,21.374768230469527,5,8
MERCEDES-BENZ,CLK,C208,GB,5,2030,2673,722,522,938,1.7500000000000002,12.362689002306483,5,9
MERCEDES-BENZ,CLK,C208,GB,10,2035,2673,151,75,268,1.7500000000000002,12.362689002306483,5,9
MERCEDES-BENZ,CLK,C209,GB,5,2030,16722,6734,5581,7828,3.45,20.017436544667103,7,9
MERCEDES-BENZ,CLK,C209,GB,10,2035,16722,1697,1002,2562,3.45,20.017436544667103,7,9
MERCEDES-BENZ,E55 AMG,W210,GB,5,2030,69,24,12,42,5.5,22.079885625029725,4,6
MERCEDES-BENZ,E55 AMG,W210,GB,10,2035,69,8,3,22,5.5,22.079885625029725,4,6
MERCEDES-BENZ,S-CLASS,W140,GB,5,2030,270,118,101,135,1.7500000000000002,16.6686198169935,5,9
MERCEDES-BENZ,S-CLASS,W140,GB,10,2035,270,49,35,64,1.7500000000000002,16.6686198169935,5,9
MERCEDES-BENZ,S-CLASS,W220,GB,5,2030,1521,331,178,514,2.65,16.393099993721542,7,9
MERCEDES-BENZ,S-CLASS,W220,GB,10,2035,1521,42,10,120,2.65,16.393099993721542,7,9
MERCEDES-BENZ,S-CLASS,W221,GB,5,2030,6048,3356,2388,3977,2.55,17.975976960349406,8,9
MERCEDES-BENZ,S-CLASS,W221,GB,10,2035,6048,1799,1017,2585,2.55,17.975976960349406,8,9
MERCEDES-BENZ,SL,R129,GB,5,2030,2060,1458,1245,1624,1.7000000000000002,26.675411093894823,7,16
MERCEDES-BENZ,SL,R129,GB,10,2035,2060,997,728,1248,1.7000000000000002,26.675411093894823,7,16
MERCEDES-BENZ,SL,R230,GB,5,2030,6286,4166,3655,4570,2.1,24.363019041742817,10,10
MERCEDES-BENZ,SL,R230,GB,10,2035,6286,2523,1888,3109,2.1,24.363019041742817,10,10
MERCEDES-BENZ,SLK,R170,GB,5,2030,6462,2246,1791,2724,3.35,23.217905669817814,8,13
MERCEDES-BENZ,SLK,R170,GB,10,2035,6462,491,296,781,3.35,23.217905669817814,8,13
MERCEDES-BENZ,SLK,R171,GB,5,2030,17921,12891,10971,14118,2.55,27.874246154265258,7,9
MERCEDES-BENZ,SLK,R171,GB,10,2035,17921,8370,5735,10440,2.55,27.874246154265258,7,9
MG,MGF,MGF,GB,5,2030,1706,939,838,1031,0.8500000000000001,5.862752062273818,4,13
MG,MGF,MGF,GB,10,2035,1706,526,426,633,0.8500000000000001,5.862752062273818,4,13
MG,TF,TF,GB,5,2030,5591,3430,3062,3737,1.25,16.499984701240624,9,19
MG,TF,TF,GB,10,2035,5591,2100,1674,2513,1.25,16.499984701240624,9,19
MINI,COOPER S,R53,GB,5,2030,13026,5247,4273,6201,2.9,20.53612171455141,5,8
MINI,COOPER S,R53,GB,10,2035,13026,1372,833,2086,2.9,20.53612171455141,5,8
MINI,COOPER S,R56,GB,5,2030,26448,17088,13771,19409,3.2,22.11032051574656,7,7
MINI,COOPER S,R56,GB,10,2035,26448,10109,6519,13209,3.2,22.11032051574656,7,7
MITSUBISHI,LANCER EVOLUTION,VII_IX,GB,5,2030,344,207,157,247,1.2,12.670176846990353,3,9
MITSUBISHI,LANCER EVOLUTION,VII_IX,GB,10,2035,344,124,73,177,1.2,12.670176846990353,3,9
NISSAN,200SX,S14,GB,5,2030,131,73,50,91,1.05,9.061162516921723,3,8
NISSAN,200SX,S14,GB,10,2035,131,40,19,63,1.05,9.061162516921723,3,8
NISSAN,350Z,Z33,GB,5,2030,2961,1635,1300,1913,2.25,20.080403729799837,7,8
NISSAN,350Z,Z33,GB,10,2035,2961,779,459,1125,2.25,20.080403729799837,7,8
NISSAN,370Z,Z34,GB,5,2030,1018,764,606,866,1.9000000000000001,23.49696463048175,4,13
NISSAN,370Z,Z34,GB,10,2035,1018,540,326,715,1.9000000000000001,23.49696463048175,4,13
NISSAN,GT-R,R35,GB,5,2030,977,727,551,833,1.3,20.691425414031052,5,14
NISSAN,GT-R,R35,GB,10,2035,977,530,301,703,1.3,20.691425414031052,5,14
OPEL,ASTRA OPC,H,GB,5,2030,2908,1569,1287,1827,2.05,17.75916992510711,6,6
OPEL,ASTRA OPC,H,GB,10,2035,2908,779,529,1063,2.05,17.75916992510711,6,6
OPEL,CORSA VXR,D,GB,5,2030,3077,1708,1168,2087,2.05,16.708489683268475,7,8
OPEL,CORSA VXR,D,GB,10,2035,3077,939,410,1439,2.05,16.708489683268475,7,8
OPEL,MONARO,V2,GB,5,2030,476,311,213,380,1.7000000000000002,20.391292174587996,5,14
OPEL,MONARO,V2,GB,10,2035,476,194,102,293,1.7000000000000002,20.391292174587996,5,14
PEUGEOT,206 GTI,MK1,GB,5,2030,355,109,56,166,1.4500000000000002,8.626055547318689,3,9
PEUGEOT,206 GTI,MK1,GB,10,2035,355,32,8,75,1.4500000000000002,8.626055547318689,3,9
PEUGEOT,208 GTI,MK1,GB,5,2030,2812,2287,855,2720,2.7,24.568780245613954,3,6
PEUGEOT,208 GTI,MK1,GB,10,2035,2812,1761,506,2581,2.7,24.568780245613954,3,6
PEUGEOT,RCZ,MK1,GB,5,2030,9368,6947,4026,8436,2.65,31.701573801524823,6,7
PEUGEOT,RCZ,MK1,GB,10,2035,9368,4699,1832,7263,2.65,31.701573801524823,6,7
PORSCHE,911,996,GB,5,2030,3845,3182,2925,3356,0.95,23.188981881342208,4,8
PORSCHE,911,996,GB,10,2035,3845,2646,2271,2940,0.95,23.188981881342208,4,8
PORSCHE,911,997,GB,5,2030,11755,10001,9632,10304,1.1,33.9133927391408,8,8
PORSCHE,911,997,GB,10,2035,11755,8471,7854,8998,1.1,33.9133927391408,8,8
PORSCHE,944,944,GB,5,2030,623,472,439,499,1.0,17.053499383149855,3,19
PORSCHE,944,944,GB,10,2035,623,359,311,402,1.0,17.053499383149855,3,19
PORSCHE,BOXSTER,986,GB,5,2030,8777,6314,5586,6875,1.85,25.96795510808177,8,12
PORSCHE,BOXSTER,986,GB,10,2035,8777,4359,3530,5217,1.85,25.96795510808177,8,12
PORSCHE,BOXSTER,987,GB,5,2030,8862,7481,6813,7909,1.4000000000000001,42.30235926246865,8,8
PORSCHE,BOXSTER,987,GB,10,2035,8862,6220,5158,6983,1.4000000000000001,42.30235926246865,8,8
PORSCHE,CAYMAN,987,GB,5,2030,4758,4007,3691,4222,1.1500000000000001,30.205676236387255,7,9
PORSCHE,CAYMAN,987,GB,10,2035,4758,3286,2781,3678,1.1500000000000001,30.205676236387255,7,9
RENAULT,CLIO 16V,MK1,GB,5,2030,98,39,12,66,2.85,15.388642249522114,3,17
RENAULT,CLIO 16V,MK1,GB,10,2035,98,9,0,35,2.85,15.388642249522114,3,17
RENAULT,CLIO RS,MK3,GB,5,2030,2541,1544,1290,1752,1.85,19.59365643666542,7,7
RENAULT,CLIO RS,MK3,GB,10,2035,2541,863,585,1139,1.85,19.59365643666542,7,7
RENAULT,MEGANE RS,MK2,GB,5,2030,702,343,232,442,1.6500000000000001,14.754212157000286,4,6
RENAULT,MEGANE RS,MK2,GB,10,2035,702,152,68,261,1.6500000000000001,14.754212157000286,4,6
RENAULT,MEGANE RS,MK3,GB,5,2030,1080,779,575,897,2.25,22.517133043639717,4,7
RENAULT,MEGANE RS,MK3,GB,10,2035,1080,509,276,710,2.25,22.517133043639717,4,7
RENAULT,TWINGO RS,MK2,GB,5,2030,612,402,242,511,1.85,20.52373048031571,5,6
RENAULT,TWINGO RS,MK2,GB,10,2035,612,241,116,401,1.85,20.52373048031571,5,6
SEAT,IBIZA CUPRA,6L,GB,5,2030,147,51,20,84,2.35,14.957958071418368,4,5
SEAT,IBIZA CUPRA,6L,GB,10,2035,147,19,3,48,2.35,14.957958071418368,4,5
SEAT,LEON CUPRA,1M,GB,5,2030,1424,483,314,653,1.6500000000000001,11.654203356699703,5,6
SEAT,LEON CUPRA,1M,GB,10,2035,1424,143,56,277,1.6500000000000001,11.654203356699703,5,6
SEAT,LEON CUPRA,1P,GB,5,2030,1204,662,499,791,2.4499999999999997,20.02160330628188,7,7
SEAT,LEON CUPRA,1P,GB,10,2035,1204,293,147,453,2.4499999999999997,20.02160330628188,7,7
SKODA,OCTAVIA VRS,1U,GB,5,2030,793,309,218,399,1.55,11.432408125024441,5,5
SKODA,OCTAVIA VRS,1U,GB,10,2035,793,108,55,184,1.55,11.432408125024441,5,5
SKODA,OCTAVIA VRS,1Z,GB,5,2030,8998,5381,3861,6449,3.0,20.134320172127342,8,11
SKODA,OCTAVIA VRS,1Z,GB,10,2035,8998,3015,1539,4504,3.0,20.134320172127342,8,11
SMART,ROADSTER,452,GB,5,2030,1881,1143,1025,1246,1.5000000000000002,17.161818093651988,5,7
SMART,ROADSTER,452,GB,10,2035,1881,667,543,799,1.5000000000000002,17.161818093651988,5,7
SUBARU,IMPREZA WRX,GD,GB,5,2030,5761,3508,3051,3903,1.4500000000000002,16.790942993142597,7,8
SUBARU,IMPREZA WRX,GD,GB,10,2035,5761,2062,1552,2578,1.4500000000000002,16.790942993142597,7,8
SUBARU,IMPREZA WRX,GR,GB,5,2030,958,589,433,711,2.0,19.450859999628115,3,5
SUBARU,IMPREZA WRX,GR,GB,10,2035,958,318,159,488,2.0,19.450859999628115,3,5
SUZUKI,SWIFT SPORT,ZC31,GB,5,2030,2148,880,577,1124,3.2,18.901276171406394,6,7
SUZUKI,SWIFT SPORT,ZC31,GB,10,2035,2148,258,76,500,3.2,18.901276171406394,6,7
TOYOTA,CELICA,T230,GB,5,2030,5070,1963,1441,2493,2.2,15.877278529965801,7,9
TOYOTA,CELICA,T230,GB,10,2035,5070,631,342,1049,2.2,15.877278529965801,7,9
TOYOTA,MR2,ZZW30,GB,5,2030,4257,2747,2328,3098,1.1,17.54693505002471,7,7
TOYOTA,MR2,ZZW30,GB,10,2035,4257,1748,1256,2229,1.1,17.54693505002471,7,7
TVR,CHIMAERA,CHIMAERA,GB,5,2030,706,562,462,618,1.7000000000000002,31.85313872556996,3,13
