make,model_gen,generation,segment,country,level,series,latest_year,stock,rarity_tier,cumulative_sales,survival,history_years,attrition,relative_attrition,n_peers,inflection_year,sorn_ratio
BMW,M5,E60,SPORTIVE,GB,generation,VEH0124,2025,595,>=500,2032,0.29281496062992124,9,0.06535399848139466,0.0007256225097560659,34,,0.5492424242424242
BMW,M5,E60,SPORTIVE,NL,generation,RDW,2026,288,<500,,1.0,0,,,0,,
BMW,Z3,E36_7,ROADSTER,GB,generation,VEH0124,2025,6700,>=500,5022,0.4272959183673469,9,0.08750926592079815,0.030473833539419855,14,,0.5786163522012578
BMW,Z3,E36_7,ROADSTER,NL,generation,RDW,2026,2429,>=500,,1.0,0,,,0,,
BMW,Z3 M,E36_7,ROADSTER,GB,generation,VEH0124,2025,388,<500,193,0.5480225988700564,9,0.03810932607716385,-0.018926106304214443,14,2020,0.6146971201588878
BMW,Z3 M,E36_7,ROADSTER,NL,generation,RDW,2026,295,<500,,1.0,0,,,0,,
BMW,Z4,E85,ROADSTER,GB,generation,VEH0124,2025,11261,>=500,21967,0.5126325852414986,9,0.07275358909945692,0.0001908442557148199,22,,0.3433436351973876
BMW,Z4,E85,ROADSTER,NL,generation,RDW,2026,889,>=500,,1.0,0,,,0,,
BMW,Z4,E89,ROADSTER,GB,generation,VEH0124,2025,13481,>=500,16703,0.8071005208645153,9,0.015095655983615215,-0.016390356191268773,14,2022,0.08881378844204123
BMW,Z4,E89,ROADSTER,NL,generation,RDW,2026,1639,>=500,,1.0,0,,,0,,
BMW,Z4 M,E85_86,ROADSTER,GB,generation,VEH0124,2025,450,<500,1157,0.3889369057908384,9,0.05515495769103624,-0.012795151806230538,21,2024,0.5535714285714286
BMW,Z4 M,E85_86,ROADSTER,NL,generation,RDW,2026,8,<20,,1.0,0,,,0,,
BMW,Z8,E52,ROADSTER,GB,generation,VEH0124,2025,40,<100,111,0.36036036036036034,9,0.039137454156448905,-0.0334252906872932,22,2017,0.6296296296296297
