country,make_raw,make,model_gen_raw,model_raw,model_gen,generation,count,source_file
GB,VAUXHALL,OPEL,VAUXHALL INSIGNIA,INSIG ELITENAV CDTI EFLEX,,,101925,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,LOTUS,LOTUS,LOTUS MODEL MISSING,MODEL MISSING,,,101243,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MINI,MINI,MINI COUNTRYMAN,C-MAN COOPER S E ALL4 EXC A,,,100224,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,AUDI,AUDI,AUDI 100,100E,,,95667,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VAUXHALL,OPEL,VAUXHALL INSIGNIA,INSIG SRI NAV VX CDTI EFLEX SS,,,95322,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT MODUS,G-MODUS DYNAMIQUE VVT A,,,93835,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD KA,SPORTKA,,,93471,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GR SCENIC D-MIQUE VVT 16V,,,93187,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,SUZUKI,SUZUKI,SUZUKI MODEL MISSING,MODEL MISSING,,,93121,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR 240,2.4/240,,,92343,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,TRAN-ER T30SE 140TDI LW A,,,91664,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,G-SCENIC DYN-7 VVT A,,,90178,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR 340,3.4/340,,,89579,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES A CLASS,A160CDI AVANTGARDE SE CVT,,,88516,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SMART,SMART,SMART CITY,CITY PULSE 61 SEMI-AUTO,,,88187,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR MK II,MK II,,,87961,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT MODUS,GRD MODUS DYNAMIQUE VVT A,,,87778,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD ZODIAC,ZODIAC,,,86061,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,DAIMLER,MERCEDES-BENZ,DAIMLER V8,V8 250,,,85600,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN 1500,1500,,,84921,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VAUXHALL,OPEL,VAUXHALL INSIGNIA,INSIG EXCNAV CDTI EFLEX,,,84893,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,PEUGEOT,PEUGEOT,PEUGEOT HORIZON,HORIZON SE,,,81632,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN 1200,1200,,,80110,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,T-PORTER T30 SE 140TDI LW,,,80036,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR E TYPE,2+2 E TYPE,,,79796,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,JAGUAR,JAGUAR,JAGUAR XJ SERIES,4.2 XJ6 AUTO,,,79174,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,AUDI,AUDI,AUDI A3,A3SLINE SP ED TDI168 QUAT,,,78278,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 300,300D DIESEL AUTO,,,77653,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,DAIMLER,MERCEDES-BENZ,DAIMLER LIMOUSINE,LIMOUSINE AUTO,,,77103,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FIAT,FIAT,FIAT 126,126 BIS,,,75347,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 200,230TE AUTO,,,74834,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SMART,SMART,SMART CITY,CITY PURE 61 SEMI-AUTO,,,74316,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 200,230E AUTO,,,74037,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLVO,VOLVO,VOLVO 244,244 DL,,,72944,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES AMG CLASS,AMG C 43 PREMIUM + 4MATIC AUTO,,,72490,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GR SCENIC D-QUE DCI106 E4,,,72367,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA HILUX,HI LUX,,,71869,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,LEXUS,LEXUS,LEXUS MODEL MISSING,MODEL MISSING,,,71037,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES AMG CLASS,AMG C 43 PREMIUM + 4MATIC A,,,70305,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,T-PORTER SHUT SE130 LWB,,,70233,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR 3.8,3.8,,,69583,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MG,MG,MG MGC,C,,,68772,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GRND SCENIC PRIVILEGE DCI,,,67860,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,AUDI,AUDI,AUDI QUATTRO,QUATTRO RHD,,,66718,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GRD SCENIC PRIV-GE T-T DCI FAP,,,66000,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA RAV4,RAV-4 GS,,,65700,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD CORTINA,CORTINA CRUSADER,,,65054,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES S CLASS,S500L AUTO,,,64626,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MAZDA,MAZDA,MAZDA EUNOS,EUNOS 1600,,,64498,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD ZEPHYR,ZEPHYR,,,64232,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLVO,VOLVO,VOLVO 245,245 DL,,,64040,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA IQ,IQ3 VVT-I CVT,,,62857,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,T-PORTER SHUT SE130 LWB A,,,62688,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA 4-RUNNER,4-RUNNER,,,62450,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR S TYPE,S TYPE,,,62101,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VAUXHALL,OPEL,VAUXHALL VICTOR,VICTOR,,,61846,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TOYOTA,TOYOTA,TOYOTA ESTIMA,ESTIMA 2WD AUTO,,,61501,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MG,MG,MG MGC,C GT,,,61318,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,DAIMLER,MERCEDES-BENZ,DAIMLER SP 250,SP 250,,,58554,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,AUDI,AUDI,AUDI TTS,TTS BLACK ED TFSI QUATTRO S-A,,,58422,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,NISSAN,NISSAN,NISSAN CHERRY,CHERRY 1.3 GS,,,58106,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD SIERRA,SAPPHIRE CLASSIC,,,57825,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD CORTINA,CORTINA DE LUXE,,,57773,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SMART,SMART,SMART MODEL MISSING,MODEL MISSING,,,57738,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,TVR,TVR,TVR 290,290 S,,,57411,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES AMG CLASS,AMG C 43 PREMIUM 4MATIC AUTO,,,56695,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD DORCHESTER,DORCHESTER AUTO,,,56475,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GR SCENIC EXPR-N DCI 106,,,54529,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES AMG CLASS,AMG CLA 45 4MATIC AUTO,,,54370,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,FORD,FORD,FORD FIESTA,ZETEC 30TH ANNIVERSARY,,,54054,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GD SCENIC D-QUE DCI130 E4,,,54000,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,JAGUAR,JAGUAR,JAGUAR E TYPE,OPEN E TYPE,,,53686,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,SKODA,SKODA,SKODA 120,120 L,,,53311,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 300,300TE AUTO,,,53203,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES GLA CLASS,GLA220 AMGLINE PREM CDI 4MAT A,,,53183,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,ALFA ROMEO,ALFA ROMEO,ALFA ROMEO SPIDER,2000 SPIDER VELOCE,,,52730,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,GRD SCENIC DY-IQUE T-T DCI FAP,,,52542,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,RENAULT,RENAULT,RENAULT GRAND SCENIC,G-SCENIC DYNAMIQUE AUTO,,,52027,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MINI,MINI,MINI COUNTRYMAN,C-MAN COOPER S E ALL4 SPORT A,,,51762,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,DAIMLER,MERCEDES-BENZ,DAIMLER DOUBLE SIX,DOUBLE SIX AUTO,,,51711,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,RENAULT,RENAULT,RENAULT MODUS,GRAND MODUS DYNAMIQUE DCI,,,51589,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,AUDI,AUDI,AUDI TTS,TTS TFSI QUATTRO,,,51116,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,AUDI,AUDI,AUDI A8,A8L SE TDI QUATTRO AUTO,,,50585,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN UP,ROCK UP,,,50151,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLVO,VOLVO,VOLVO V70,V70 R-DESIGN SE D,,,50132,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,FORD,FORD,FORD INDEPENDENCE,INDEPENDENCE RS,,,49137,df_VEH0120_GB.csv|df_VEH0124_AM.csv
GB,VAUXHALL,OPEL,VAUXHALL CRESTA,CRESTA,,,49041,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,VOLKSWAGEN,VOLKSWAGEN,VOLKSWAGEN TRANSPORTER,T-PORTER T30 SE 102TDI LW,,,48073,df_VEH0120_GB.csv|df_VEH0124_NZ.csv
GB,MERCEDES,MERCEDES-BENZ,MERCEDES 200,260E AUTO,,,47954,df_VEH0120_GB.csv|df_VEH0124_AM.csv
